model,sample_instance_id,anchor_value,condition_class,step_used,layer,mass_anchor,mass_digit,mass_background,digit_over_anchor,run
llava-1.5-7b,1290001_1290_set00,20,a,4,19,0.04192425310611725,0.02180289477109909,0.020121358335018158,0.5200544590719921,20260428-100833
llava-1.5-7b,1290001_1290_set00,20,a,4,20,0.03277678042650223,0.017274052690481767,0.01550272773602046,0.5270210333567276,20260428-100833
llava-1.5-7b,1290001_1290_set00,20,a,4,21,0.019146181643009186,0.009201464265061077,0.009944717377948109,0.4805900433113666,20260428-100833
llava-1.5-7b,1290001_1290_set00,20,a,4,22,0.03159211948513985,0.012022923998301849,0.019569195486837998,0.3805671855589536,20260428-100833
llava-1.5-7b,1290001_1290_set00,20,a,4,23,0.038661226630210876,0.015401975571876392,0.023259251058334485,0.3983830031880285,20260428-100833
llava-1.5-7b,1290001_1290_set00,20,a,4,24,0.023621592670679092,0.009306032516178675,0.014315560154500417,0.3939629577869246,20260428-100833
llava-1.5-7b,1290001_1290_set00,20,a,4,25,0.028185507282614708,0.014989495786721818,0.01319601149589289,0.5318157177879708,20260428-100833
llava-1.5-7b,1290001_1290_set00,20,a,4,26,0.026900764554739,0.009655494417529553,0.017245270137209445,0.3589301113684735,20260428-100833
llava-1.5-7b,1290001_1290_set00,20,a,4,27,0.01798168197274208,0.007497982289351057,0.010483699683391023,0.41697891780741286,20260428-100833
llava-1.5-7b,1290001_1290_set00,20,a,4,28,0.02761298045516014,0.010513546614674851,0.01709943384048529,0.38074653446944895,20260428-100833
llava-1.5-7b,1290001_1290_set00,20,a,4,29,0.0547405481338501,0.024418276036158204,0.030322272097691894,0.4460729179483424,20260428-100833
llava-1.5-7b,1290001_1290_set00,20,a,4,30,0.029271310195326805,0.00972051160351839,0.019550798591808416,0.3320832425557186,20260428-100833
llava-1.5-7b,1290001_1290_set00,20,a,4,31,0.06777794659137726,0.02029691619100049,0.04748103040037677,0.29946195203238385,20260428-100833
llava-1.5-7b,269926003_269926_set00,8400,a,1,0,0.44292905926704407,0.20640809834003448,0.23652096092700958,0.4660071269236595,20260428-100833
llava-1.5-7b,269926003_269926_set00,8400,a,1,1,0.2933483123779297,0.1461188942193985,0.1472294181585312,0.4981071581252154,20260428-100833
llava-1.5-7b,269926003_269926_set00,8400,a,1,2,0.16051307320594788,0.049610167276114225,0.11090290592983365,0.309072440551066,20260428-100833
llava-1.5-7b,269926003_269926_set00,8400,a,1,3,0.06725772470235825,0.015166740864515305,0.05209098383784294,0.22550184282376587,20260428-100833
llava-1.5-7b,269926003_269926_set00,8400,a,1,4,0.034883931279182434,0.009434716121177189,0.025449215158005245,0.2704602312643447,20260428-100833
llava-1.5-7b,269926003_269926_set00,8400,a,1,5,0.025610269978642464,0.008045844864682294,0.01756442511396017,0.3141647812144144,20260428-100833
llava-1.5-7b,269926003_269926_set00,8400,a,1,6,0.019940443336963654,0.007628967687196564,0.01231147564976709,0.38258766659689686,20260428-100833
llava-1.5-7b,269926003_269926_set00,8400,a,1,7,0.047317735850811005,0.024961354152765125,0.02235638169804588,0.5275263852747785,20260428-100833
llava-1.5-7b,269926003_269926_set00,8400,a,1,8,0.04009847715497017,0.01961769661284052,0.02048078054212965,0.48923794629464934,20260428-100833
llava-1.5-7b,269926003_269926_set00,8400,a,1,9,0.07504238188266754,0.0462210004334338,0.02882138144923374,0.6159319477052662,20260428-100833
llava-1.5-7b,269926003_269926_set00,8400,a,1,10,0.10607680678367615,0.0630872705951333,0.04298953618854284,0.5947319919215519,20260428-100833
llava-1.5-7b,269926003_269926_set00,8400,a,1,11,0.09001640975475311,0.045986196608282626,0.04403021314647049,0.5108645938398407,20260428-100833
llava-1.5-7b,269926003_269926_set00,8400,a,1,12,0.11024168133735657,0.055125607061199844,0.055116074276156723,0.500043235847492,20260428-100833
