experiment,dataset,model,cond_class,stratum,proxy,quartile,n,n_pb_ne_anchor,n_numeric_anchor,adopt_rate,direction_follow_rate,exact_match_b_in_quartile
experiment_e5c_tally,TallyQA,llava-next-interleaved-7b,a,S4,entropy_top_k,Q1,250,250,250,0.0,0.0,0.94
experiment_e5c_tally,TallyQA,llava-next-interleaved-7b,a,S4,entropy_top_k,Q2,250,250,250,0.0,0.056,0.752
experiment_e5c_tally,TallyQA,llava-next-interleaved-7b,a,S4,entropy_top_k,Q3,250,250,250,0.0,0.072,0.552
experiment_e5c_tally,TallyQA,llava-next-interleaved-7b,a,S4,entropy_top_k,Q4,250,250,249,0.008,0.08032128514056225,0.372
experiment_e5c_tally,TallyQA,llava-next-interleaved-7b,a,S5,softmax_top1_prob,Q1,246,246,246,0.0,0.0,0.9186991869918699
experiment_e5c_tally,TallyQA,llava-next-interleaved-7b,a,S5,softmax_top1_prob,Q2,246,246,246,0.0,0.024390243902439025,0.8008130081300813
experiment_e5c_tally,TallyQA,llava-next-interleaved-7b,a,S5,softmax_top1_prob,Q3,246,246,246,0.0,0.028455284552845527,0.5121951219512195
experiment_e5c_tally,TallyQA,llava-next-interleaved-7b,a,S5,softmax_top1_prob,Q4,246,246,244,0.0,0.10655737704918032,0.4268292682926829
experiment_e5c_tally,TallyQA,llava-next-interleaved-7b,a,S5,top1_minus_top2_margin,Q1,250,250,249,0.0,0.0321285140562249,0.588
experiment_e5c_tally,TallyQA,llava-next-interleaved-7b,a,S5,top1_minus_top2_margin,Q2,250,250,249,0.0,0.01606425702811245,0.596
experiment_e5c_tally,TallyQA,llava-next-interleaved-7b,a,S5,top1_minus_top2_margin,Q3,250,250,250,0.0,0.024,0.612
experiment_e5c_tally,TallyQA,llava-next-interleaved-7b,a,S5,top1_minus_top2_margin,Q4,250,250,250,0.0,0.084,0.82
experiment_e5c_tally,TallyQA,llava-next-interleaved-7b,a,S5,entropy_top_k,Q1,250,250,250,0.0,0.0,0.94
experiment_e5c_tally,TallyQA,llava-next-interleaved-7b,a,S5,entropy_top_k,Q2,250,250,250,0.0,0.056,0.752
experiment_e5c_tally,TallyQA,llava-next-interleaved-7b,a,S5,entropy_top_k,Q3,250,250,250,0.0,0.064,0.552
experiment_e5c_tally,TallyQA,llava-next-interleaved-7b,a,S5,entropy_top_k,Q4,250,250,248,0.0,0.036290322580645164,0.372
experiment_e5c_tally,TallyQA,llava-next-interleaved-7b,m,S1,softmax_top1_prob,Q1,246,173,246,0.0,0.0,0.9186991869918699
experiment_e5c_tally,TallyQA,llava-next-interleaved-7b,m,S1,softmax_top1_prob,Q2,246,155,246,0.03870967741935484,0.028455284552845527,0.8008130081300813
experiment_e5c_tally,TallyQA,llava-next-interleaved-7b,m,S1,softmax_top1_prob,Q3,246,179,246,0.05027932960893855,0.08130081300813008,0.5121951219512195
experiment_e5c_tally,TallyQA,llava-next-interleaved-7b,m,S1,softmax_top1_prob,Q4,246,171,244,0.12280701754385964,0.14344262295081966,0.4268292682926829
experiment_e5c_tally,TallyQA,llava-next-interleaved-7b,m,S1,top1_minus_top2_margin,Q1,250,185,249,0.04864864864864865,0.06827309236947791,0.588
experiment_e5c_tally,TallyQA,llava-next-interleaved-7b,m,S1,top1_minus_top2_margin,Q2,250,175,249,0.05142857142857143,0.060240963855421686,0.596
