experiment,model,timestamp,condition,df_moved_before,df_raw_before,adopt_before,exact_match_before,distance_before,n_before,df_moved_after,df_raw_after,adopt_after,exact_match_after,distance_after,n_after,df_moved_delta,df_raw_delta,adopt_delta,exact_match_delta
experiment_e5e_mathvista_full,llava-next-interleaved-7b,20260428-090622,target_plus_irrelevant_number_S1,0.0,0.23809523809523808,0.0547945205479452,0.2821917808219178,2976203.2410714286,365.0,0.20535714285714285,0.20535714285714285,0.06557377049180328,0.2821917808219178,2976203.2410714286,365.0,0.20535714285714285,-0.03273809523809523,0.01077924994385808,0.0
experiment_e5e_mathvista_full,llava-next-interleaved-7b,20260428-090622,target_plus_irrelevant_number_masked_S1,0.0,0.258160237388724,0.024657534246575342,0.2410958904109589,2967387.1305637984,365.0,0.12462908011869436,0.12462908011869436,0.029508196721311476,0.2410958904109589,2967387.1305637984,365.0,0.12462908011869436,-0.13353115727002965,0.0048506624747361345,0.0
experiment_e5e_mathvista_full,qwen2.5-vl-7b-instruct,20260428-090622,target_only,,,0.0,0.6103896103896104,,385.0,,,0.0,0.6103896103896104,,385.0,,,0.0,0.0
experiment_e5e_mathvista_full,qwen2.5-vl-7b-instruct,20260428-090622,target_plus_irrelevant_neutral,,,0.0,0.6,,385.0,,,0.0,0.6,,385.0,,,0.0,0.0
experiment_e5e_mathvista_full,qwen2.5-vl-7b-instruct,20260428-090622,target_plus_irrelevant_number_S1,0.0,0.14917127071823205,0.0136986301369863,0.6082191780821918,5.726519337016574,365.0,0.0718232044198895,0.0718232044198895,0.01968503937007874,0.6082191780821918,5.726519337016574,365.0,0.0718232044198895,-0.07734806629834255,0.005986409233092439,0.0
experiment_e5e_mathvista_full,qwen2.5-vl-7b-instruct,20260428-090622,target_plus_irrelevant_number_masked_S1,0.0,0.1184573002754821,0.005479452054794521,0.6383561643835617,10.986225895316805,365.0,0.04132231404958678,0.04132231404958678,0.007874015748031496,0.6383561643835617,10.986225895316805,365.0,0.04132231404958678,-0.07713498622589532,0.0023945636932369754,0.0
experiment_e5e_mathvista_reasoning,analysis,20260428-113935,models,,,,,,0.0,,,,,,0.0,,,,
experiment_e5e_mathvista_reasoning,analysis,20260428-114421,models,,,,,,,,,,,,0.0,,,,
experiment_e5e_mathvista_reasoning,qwen3-vl-8b-instruct,20260428-113935,target_only,,,0.0,1.0,,3.0,,,0.0,1.0,,3.0,,,0.0,0.0
experiment_e5e_mathvista_reasoning,qwen3-vl-8b-instruct,20260428-113935,target_plus_irrelevant_neutral,,,0.0,1.0,,3.0,,,0.0,1.0,,3.0,,,0.0,0.0
experiment_e5e_mathvista_reasoning,qwen3-vl-8b-instruct,20260428-113935,target_plus_irrelevant_number_S1,0.0,0.0,0.0,1.0,33.666666666666664,3.0,0.0,0.0,0.0,1.0,33.666666666666664,3.0,0.0,0.0,0.0,0.0
