experiment,dataset,model,cond_class,stratum,proxy,adopt_increases,df_increases,adopt_q1,adopt_q4,adopt_q4_minus_q1,df_q1,df_q4,df_q4_minus_q1
experiment_e5c_tally,TallyQA,llava-next-interleaved-7b,m,S5,softmax_top1_prob,0,3,0.0,0.0,0.0,0.0,0.07377049180327869,0.07377049180327869
experiment_e5c_tally,TallyQA,llava-next-interleaved-7b,m,S5,top1_minus_top2_margin,0,3,0.0,0.0,0.0,0.01606425702811245,0.056,0.03993574297188755
experiment_e5c_vqa,VQAv2,llava-next-interleaved-7b,a,S1,entropy_top_k,3,3,0.042682926829268296,0.17204301075268819,0.12936008392341988,0.028,0.10887096774193548,0.08087096774193549
experiment_e5c_vqa,VQAv2,llava-next-interleaved-7b,a,S1,softmax_top1_prob,3,2,0.0375,0.17679558011049723,0.13929558011049722,0.024691358024691357,0.13692946058091288,0.11223810255622152
experiment_e5c_vqa,VQAv2,llava-next-interleaved-7b,a,S1,top1_minus_top2_margin,2,3,0.07692307692307693,0.14705882352941177,0.07013574660633484,0.04,0.11336032388663968,0.07336032388663968
experiment_e5c_vqa,VQAv2,llava-next-interleaved-7b,a,S2,entropy_top_k,2,2,0.024291497975708502,0.037037037037037035,0.012745539061328533,0.032,0.12903225806451613,0.09703225806451612
experiment_e5c_vqa,VQAv2,llava-next-interleaved-7b,a,S2,softmax_top1_prob,2,3,0.016597510373443983,0.04782608695652174,0.031228576583077757,0.024691358024691357,0.1652892561983471,0.14059789817365576
experiment_e5c_vqa,VQAv2,llava-next-interleaved-7b,a,S2,top1_minus_top2_margin,3,2,0.008264462809917356,0.06477732793522267,0.05651286512530532,0.06,0.1417004048582996,0.0817004048582996
experiment_e5c_vqa,VQAv2,llava-next-interleaved-7b,a,S3,entropy_top_k,2,3,0.024,0.04435483870967742,0.02035483870967742,0.028,0.09274193548387097,0.06474193548387097
experiment_e5c_vqa,VQAv2,llava-next-interleaved-7b,a,S3,softmax_top1_prob,1,2,0.01646090534979424,0.02066115702479339,0.004200251674999149,0.0205761316872428,0.14937759336099585,0.12880146167375306
experiment_e5c_vqa,VQAv2,llava-next-interleaved-7b,a,S3,top1_minus_top2_margin,2,2,0.012,0.024,0.012,0.04,0.11740890688259109,0.07740890688259108
experiment_e5c_vqa,VQAv2,llava-next-interleaved-7b,a,S4,entropy_top_k,2,2,0.02,0.032,0.012,0.028,0.10441767068273092,0.07641767068273092
experiment_e5c_vqa,VQAv2,llava-next-interleaved-7b,a,S4,softmax_top1_prob,2,2,0.0205761316872428,0.0205761316872428,0.0,0.024691358024691357,0.14049586776859505,0.11580450974390369
experiment_e5c_vqa,VQAv2,llava-next-interleaved-7b,a,S4,top1_minus_top2_margin,1,3,0.016,0.02,0.004,0.04,0.10887096774193548,0.06887096774193549
experiment_e5c_vqa,VQAv2,llava-next-interleaved-7b,a,S5,entropy_top_k,2,2,0.012,0.032,0.02,0.02,0.07258064516129033,0.052580645161290324
experiment_e5c_vqa,VQAv2,llava-next-interleaved-7b,a,S5,softmax_top1_prob,2,3,0.00411522633744856,0.012345679012345678,0.008230452674897118,0.012345679012345678,0.12863070539419086,0.11628502638184518
experiment_e5c_vqa,VQAv2,llava-next-interleaved-7b,a,S5,top1_minus_top2_margin,2,2,0.004,0.02,0.016,0.036,0.09716599190283401,0.06116599190283401
experiment_e5c_vqa,VQAv2,llava-next-interleaved-7b,m,S1,entropy_top_k,2,3,0.012195121951219513,0.08602150537634409,0.07382638342512458,0.008,0.06451612903225806,0.05651612903225806
