experiment,dataset,model,cond_class,stratum,base_correct,A_raw__D_all_num,A_raw__D_all_den,A_raw__D_paired_num,A_raw__D_paired_den,A_raw__D_clean_num,A_raw__D_clean_den,A_paired__D_all_num,A_paired__D_all_den,A_paired__D_paired_num,A_paired__D_paired_den,A_paired__D_clean_num,A_paired__D_clean_den,A_clean__D_all_num,A_clean__D_all_den,A_clean__D_paired_num,A_clean__D_paired_den,A_clean__D_clean_num,A_clean__D_clean_den,DF_raw__DD_all_num,DF_raw__DD_all_den,DF_raw__DD_moved_num,DF_raw__DD_moved_den,DF_raw__DD_clean_num,DF_raw__DD_clean_den,DF_moved__DD_all_num,DF_moved__DD_all_den,DF_moved__DD_moved_num,DF_moved__DD_moved_den,DF_moved__DD_clean_num,DF_moved__DD_clean_den,DF_clean__DD_all_num,DF_clean__DD_all_den,DF_clean__DD_moved_num,DF_clean__DD_moved_den,DF_clean__DD_clean_num,DF_clean__DD_clean_den,n_pairs
experiment_anchor_strengthen_prompt,VQAv2,qwen3-vl-30b-it,d,S0,correct,0,10970,0,10970,0,10970,0,10970,0,10970,0,10970,0,10970,0,10970,0,10970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10970
experiment_anchor_strengthen_prompt,VQAv2,qwen3-vl-30b-it,d,S0,wrong,0,6760,0,6760,0,6760,0,6760,0,6760,0,6760,0,6760,0,6760,0,6760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6760
experiment_anchor_strengthen_prompt,VQAv2,qwen3-vl-8b-instruct,a,S0,all,2438,17730,847,15792,696,14991,847,17730,847,15792,696,14991,696,17730,696,15792,696,14991,2974,17729,2974,4400,2779,3935,2974,17729,2974,4400,2779,3935,2779,17729,2779,4400,2779,3935,17730
experiment_anchor_strengthen_prompt,VQAv2,qwen3-vl-8b-instruct,a,S0,correct,1383,10415,321,9210,321,9210,321,10415,321,9210,321,9210,321,10415,321,9210,321,9210,1115,10415,1115,1659,1115,1516,1115,10415,1115,1659,1115,1516,1115,10415,1115,1659,1115,1516,10415
experiment_anchor_strengthen_prompt,VQAv2,qwen3-vl-8b-instruct,a,S0,wrong,1055,7315,526,6582,375,5781,526,7315,526,6582,375,5781,375,7315,375,6582,375,5781,1859,7314,1859,2741,1664,2419,1859,7314,1859,2741,1664,2419,1664,7314,1664,2741,1664,2419,7315
experiment_anchor_strengthen_prompt,VQAv2,qwen3-vl-8b-instruct,d,S0,all,0,17730,0,17730,0,17730,0,17730,0,17730,0,17730,0,17730,0,17730,0,17730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17730
experiment_anchor_strengthen_prompt,VQAv2,qwen3-vl-8b-instruct,d,S0,correct,0,10415,0,10415,0,10415,0,10415,0,10415,0,10415,0,10415,0,10415,0,10415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10415
experiment_anchor_strengthen_prompt,VQAv2,qwen3-vl-8b-instruct,d,S0,wrong,0,7315,0,7315,0,7315,0,7315,0,7315,0,7315,0,7315,0,7315,0,7315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7315
experiment_distance_tally,TallyQA,llava-next-interleaved-7b,a,S1,all,340,1000,41,667,22,556,41,1000,41,667,22,556,22,1000,22,667,22,556,76,998,76,136,48,87,76,998,76,136,48,87,48,998,48,136,48,87,1000
experiment_distance_tally,TallyQA,llava-next-interleaved-7b,a,S1,correct,250,654,15,402,15,402,15,654,15,402,15,402,15,654,15,402,15,402,17,654,17,51,17,34,17,654,17,51,17,34,17,654,17,51,17,34,654
