model,anchor_value,n_pairs,adoption_rate,moved_closer_rate,mean_anchor_pull,median_anchor_pull,mean_signed_shift,median_signed_shift
qwen3-vl-30b-it,5,1933,0.12415933781686497,0.14123124676668392,0.07139161924469736,0.0,-0.2834971546818417,0.0
qwen3-vl-30b-it,6,1991,0.12606730286288298,0.12154696132596685,0.053239578101456554,0.0,-0.16273229532898043,0.0
qwen3-vl-30b-it,7,1924,0.06392931392931393,0.08367983367983368,-1.5493762993762994,0.0,1.3186070686070686,0.0
qwen3-vl-30b-it,8,1961,0.04436511983681795,0.04436511983681795,-0.5527791942886282,0.0,0.20805711371749108,0.0
qwen3-vl-8b-instruct,0,1942,0.1349124613800206,0.12976313079299692,0.6652935118434603,0.0,-0.6652935118434603,0.0
qwen3-vl-8b-instruct,1,1931,0.14396685655100985,0.11289487312273433,1.3920248575867427,0.0,-1.3930605903676851,0.0
qwen3-vl-8b-instruct,2,2000,0.1625,0.1315,0.186,0.0,-0.225,0.0
qwen3-vl-8b-instruct,3,1999,0.1375687843921961,0.1345672836418209,0.5952976488244122,0.0,-0.6903451725862931,0.0
qwen3-vl-8b-instruct,4,2045,0.14034229828850855,0.10611246943765282,0.8259168704156479,0.0,-0.9422982885085575,0.0
qwen3-vl-8b-instruct,5,1934,0.1328852119958635,0.09513960703205791,0.4772492244053775,0.0,-0.6695966907962771,0.0
qwen3-vl-8b-instruct,6,1993,0.1359759157049674,0.0863020572002007,-2.8906171600602106,0.0,2.8183642749623683,0.0
qwen3-vl-8b-instruct,7,1925,0.09194805194805195,0.06441558441558441,-0.014545454545454545,0.0,-0.13922077922077922,0.0
qwen3-vl-8b-instruct,8,1961,0.06527281998980113,0.034166241713411524,0.6965833758286588,0.0,-0.918918918918919,0.0
